File,Title
20141017_3_xls-data.xls,"Pflegeversicherung, Entschließungsantrag Die Linke Nr. 3"
20141017_4_xls-data.xls,Entschließungsantrag Bündnis 90/Die Grünen Nr. 4
20141113_1_xls-data.xls,Änderung des Grundgesetzes (Artikel 91b) Nr. 1
20141113_2_xls-data.xls,Änderung des Grundgesetzes (Artikel 91b) Nr. 2
20141113_3_xls-data.xls,Änderung des Grundgesetzes (Artikel 91b) Nr. 3
20141113_4_xls-data.xls,Änderung des Bundesausbildungsförderungsgesetzes Nr.1
20141113_5_xls-data.xls,Änderung des Bundesausbildungsförderungsgesetzes Nr. 2
20141113_6_xls-data.xls,Änderung des Bundesausbildungsförderungsgesetzes Nr. 3
20141113_7_xls-data.xls,Änderung des Bundesausbildungsförderungsgesetzes Nr. 4
20141113_8_xls-data.xls,Änderung des Bundesausbildungsförderungsgesetzes Nr. 5
20141113_9_xls-data.xls,Bundeswehreinsatz in Südsudan (UNMISS)
20141113_10_xls-data.xls,Bundeswehreinsatz in Darfur (UNAMID)
20141126_1_xls-data.xls,26.11.2014: Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2015 (Einzelplan 04 - Bundeskanzlerin und Bundeskanzleramt)
20141128_1_xls-data.xls,Haushaltsgesetz 2015
20141128_2_xls-data.xls,Entschließungsantrag Bündnis 90/Die Grünen
20141218_3_xls-data.xls,Änderung des Bundesdatenschutzgesetzes - Änderungsantrag
20141218_4_xls-data.xls,Änderung des Bundesdatenschutzgesetzes
20141218_1_xls-data.xls,Bundeswehreinsatz in Afghanistan (RSM)
20141218_2_xls-data.xls,Bundeswehreinsatz ACTIVE ENDEAVOUR (OAE)
20150129_1_xls-data,Ausbildungsunterstützung der Sicherheitskräfte der Regierung der Region Kurdistan-Irak und der irakischen Streitkräfte (Drucksachen 18/3561 und 18/3857)
20150129_2_xls-data,Bundeswehreinsatz Operation Active Fence (Türkei)
20150226_1_xls-data,Bundeswehreinsatz in Mali (EUTM Mali)
20150227_1_xls-data,Finanzhilfen zugunsten Griechenlands
20150305_1_xls-data,"Mietrechtsnovellierungsgesetz, 1. Änderungsantrag Bündnis 90/Die Grünen"
20150305_2_xls-data,"Mietrechtsnovellierungsgesetz, 2. Änderungsantrag Bündnis 90/Die Grünen"
20150326_1_xls-data,Bundeswehreinsatz EUTM Somalia
20150326_2_xls-data,Nachhaltige Waldbewirtschaftung
20150327_1_xls-data,"Pkw-Maut, Änderungsantrag Bündnis 90/Die Grünen"
20150327_2_xls-data,"Pkw-Maut, Änderungsantrag Bündnis 90/Die Grünen"
20150327_3_xls-data,"Pkw-Maut,Gesetzentwurf der Bundesregierung"
20150327_4_xls-data,"Pkw-Maut, Änderungsantrag Bündnis 90/Die Grünen"
20150327_5_xls-data,"Pkw-Maut,Zweites Verkehrsteueränderungsgesetz"
20150327_6_xls-data,"Liegenschaftspolitik des Bundes,Gesetzenwurf Die Linke"
20150327_7_xls-data,"Liegenschaftspolitik des Bundes,Beschlussempfehlung des Haushaltsausschusses"
20150521_1_xls-data,Bundeswehreinsatz Operation Atalanta
20150521_2_xls-data,Bundeswehreinsatz UNMIL in Liberia
20150522_1_xls-data,Tarifeinheitsgesetz
20150618_1_xls-data,"Grundfreibetrag, Kinderfreibetrag, -geld, -zuschlag"
20150619_1_xls-data,Bundeswehreinsatz in Kosovo (KFOR)
20150619_2_xls-data,Bundeswehreinsatz in Mali (MINUSMA)
20150619_3_xls-data,Bundeswehreinsatz in Libanon (UNIFIL)
20150702_1_xls-data,"Bleiberecht und Aufenthaltsbeendigung, Änderungsantrag Bündnis 90/Die Grünen"
20150702_2_xls-data,"Bleiberecht und Aufenthaltsbeendigung, 2. Änderungsantrag Bündnis 90/Die Grünen"
20150702_3_xls-data,"Bleiberecht und Aufenthaltsbeendigung, 3. Änderungsantrag Bündnis 90/Die Grünen"
20150702_4_xls-data,"Bleiberecht und Aufenthaltsbeendigung, Entschließungsantrag Die Linke"
20150702_5_xls-data,"Subventionen für Atomkraftwerke in der EU, Beschlussempfehlung zum Antrag Die Linke"
20150702_6_xls-data,"Subventionen für britisches Atomwerk Hinkley Point C stoppen, Beschlussempfehlung zum Antrag Bündnis 90/Die Grünen"
20150717_1_xls-data,Stabilitätshilfe zugunsten Griechenlands
20150717_2_xls-data,Entschließungsantrag der Fraktion BÜNDNIS 90/DIE GRÜNEN zurStabilitätshilfe zugunsten Griechenlands
20150717_3_xls-data,Antrag der Fraktion BÜNDNIS 90/DIE GRÜNENVerwendung der SMP-Mittel 2014 zur Absicherung einer Brückenfinanzierung
20150819_1_xls-data,Stabilitätshilfe für Griechenland
20151001_1_xls-data,Bundeswehreinsatz EU-Operation EUNAVFORMED
20151001_2_xls-data,"Sanktionen bei Hartz IV und Sozialhilfe, Antrag Die Linke"
20151001_3_xls-data,"Sanktionen bei Hartz IV und Sozialhilfe, Antrag Bündnis 90/Die Grünen"
20151002_1_xls-data,Renten in Ostdeutschland
20151015_1_xls-data,"Asylverfahrensbeschleunigung (Artikel 1 Nr. 15, 16, 19)"
20151015_2_xls-data,Asylverfahrensbeschleunigung (Artikel 1 Nr. 35)
20151015_3_xls-data,Asylverfahrensbeschleunigung (Artikel 2)
20151015_4_xls-data,Asylverfahrensbeschleunigung (Artikel 8 und 12)
20151015_5_xls-data,Asylverfahrensbeschleunigung
20151016_1_xls-data,Speicherpflicht und einer Höchstspeicherfrist für Verkehrsdaten
